Date,Total runoff [m^3 s^-1]
1-May-18,1.0223018
2-May-18,1.453128
3-May-18,1.4267902
4-May-18,1.6082892
5-May-18,1.4139049
6-May-18,1.411
7-May-18,1.4002599
8-May-18,1.3374702
9-May-18,1.3223761
10-May-18,1.2721932
11-May-18,1.2729149
12-May-18,1.0986809
13-May-18,0.984
14-May-18,0.8248564
15-May-18,1.0023447
16-May-18,1.6013306
17-May-18,6.279628
18-May-18,3.7718265
19-May-18,1.8067125
20-May-18,1.435
21-May-18,6.3245025
22-May-18,3.7485967
23-May-18,3.0818167
24-May-18,1.5075126
25-May-18,1.0999156
26-May-18,1.0504258
27-May-18,1.025
28-May-18,0.9750921
29-May-18,0.8466826
30-May-18,0.80004406
31-May-18,0.9722017
1-Jun-18,1.6297668
2-Jun-18,2.9749968
3-Jun-18,2.511
4-Jun-18,1.9147453
5-Jun-18,1.5947255
6-Jun-18,3.280283
7-Jun-18,3.2211034
8-Jun-18,3.283993
9-Jun-18,3.0757205
10-Jun-18,1.695
11-Jun-18,13.065668
12-Jun-18,3.1121285
13-Jun-18,1.7380754
14-Jun-18,1.6074626
15-Jun-18,3.130541
16-Jun-18,2.484
17-Jun-18,2.453
18-Jun-18,1.4711944
19-Jun-18,1.1843926
20-Jun-18,1.0966563
21-Jun-18,1.0909827
22-Jun-18,27.77905
23-Jun-18,6.5500283
24-Jun-18,3.015
25-Jun-18,2.8059692
26-Jun-18,2.2951684
27-Jun-18,16.377043
28-Jun-18,30.733765
29-Jun-18,29.539865
30-Jun-18,21.546608
1-Jul-18,14.861
2-Jul-18,14.856353
3-Jul-18,10.77106
4-Jul-18,8.946427
5-Jul-18,8.442071
6-Jul-18,8.701219
7-Jul-18,7.6425967
8-Jul-18,12.735
9-Jul-18,33.662426
10-Jul-18,14.545407
11-Jul-18,28.839481
12-Jul-18,42.886475
13-Jul-18,39.618153
14-Jul-18,32.67182
15-Jul-18,51.148
16-Jul-18,36.813663
17-Jul-18,109.52051
18-Jul-18,48.239758
19-Jul-18,29.224617
20-Jul-18,75.96043
21-Jul-18,43.578564
22-Jul-18,315.62
23-Jul-18,221.21242
24-Jul-18,41.736786
25-Jul-18,37.37027
26-Jul-18,25.502533
27-Jul-18,22.890425
28-Jul-18,20.682161
29-Jul-18,17.86
30-Jul-18,15.976305
31-Jul-18,48.570374
1-Aug-18,37.33139
2-Aug-18,25.706532
3-Aug-18,26.2333
4-Aug-18,211.69771
5-Aug-18,46.551
6-Aug-18,27.234196
7-Aug-18,65.17728
8-Aug-18,155.87836
9-Aug-18,41.230286
10-Aug-18,27.625406
11-Aug-18,24.965015
12-Aug-18,31.425
13-Aug-18,41.014244
14-Aug-18,28.612528
15-Aug-18,256.052
16-Aug-18,180.73865
17-Aug-18,40.701706
18-Aug-18,39.640507
19-Aug-18,27.833
20-Aug-18,60.973347
21-Aug-18,37.929127
22-Aug-18,65
23-Aug-18,26.997015
24-Aug-18,22.459692
25-Aug-18,20.838636
26-Aug-18,18.615
27-Aug-18,36.415806
28-Aug-18,233.15451
29-Aug-18,213.90341
30-Aug-18,53.081455
31-Aug-18,34.039005
1-Sep-18,38.72097
2-Sep-18,330
3-Sep-18,230
4-Sep-18,54.021683
5-Sep-18,35.83537
6-Sep-18,63.28421
7-Sep-18,133.17554
8-Sep-18,300.7626
9-Sep-18,65
10-Sep-18,33.85613
11-Sep-18,41.110615
12-Sep-18,29.903494
13-Sep-18,29.309433
14-Sep-18,27.264599
15-Sep-18,23.01162
16-Sep-18,36.09
17-Sep-18,54.251724
18-Sep-18,49.213608
19-Sep-18,30.377811
20-Sep-18,35.923866
21-Sep-18,195
22-Sep-18,384.21603
23-Sep-18,90
24-Sep-18,45.779163
25-Sep-18,40.64
26-Sep-18,34.779053
27-Sep-18,32.282215
28-Sep-18,28.772512
29-Sep-18,26.330288
30-Sep-18,26.41
1-Oct-18,24.512545
2-Oct-18,21.24
3-Oct-18,16.325844
4-Oct-18,15.558413
5-Oct-18,15.20653
6-Oct-18,15.074076
7-Oct-18,15.07
8-Oct-18,14.603447
9-Oct-18,14.549539
10-Oct-18,14.366631
11-Oct-18,16.881092
12-Oct-18,50.881596
13-Oct-18,109.34653
14-Oct-18,43.21
15-Oct-18,26.974222
16-Oct-18,21.759953
17-Oct-18,18.685232
18-Oct-18,18.13
19-Oct-18,17.57
20-Oct-18,17.072317
21-Oct-18,17.01
22-Oct-18,15.6749115
23-Oct-18,15.000747
24-Oct-18,14.992072
25-Oct-18,14.782716
26-Oct-18,14.246123
27-Oct-18,13.784921
28-Oct-18,12.76
29-Oct-18,12.761593
30-Oct-18,12.744305
31-Oct-18,12.949318
